User ID,Age,Gender,Country,Purchase Amount,Purchase Date,Product Category
1,56.0,Female,USA,331.79,2021-11-21,Sports
2,69.0,Male,Australia,335.72,2022-03-05,Home & Kitchen
3,46.0,,Germany,493.18,,Books
4,32.0,Male,Germany,80.97,2023-06-08,Sports
5,60.0,Female,UK,21.75,,Beauty
6,,Male,France,,2021-12-27,Beauty
7,38.0,Female,Canada,222.2,2022-02-23,Beauty
8,56.0,Male,USA,217.27,2021-09-08,Sports
9,36.0,Male,Australia,116.53,2022-06-04,Clothing
10,40.0,Female,France,255.9,2020-01-23,Home & Kitchen
11,28.0,Female,Australia,223.88,2022-03-17,Beauty
12,28.0,Other,France,176.0,2020-06-09,
13,41.0,Female,USA,224.16,2023-05-02,Books
14,53.0,Male,Canada,195.0,2020-09-22,Books
15,57.0,Male,USA,470.25,2020-03-23,Books
16,,Female,Canada,490.22,,Sports
17,20.0,Other,Australia,420.75,2021-10-16,Clothing
18,,Female,UK,495.25,2021-07-08,Beauty
19,19.0,Male,Canada,136.53,2020-12-09,Electronics
20,41.0,Male,France,422.25,2020-01-12,Beauty
21,61.0,Other,UK,206.28,2021-03-25,Beauty
22,,Female,Australia,374.34,2021-07-27,Clothing
23,55.0,Male,,,2021-08-13,
24,19.0,Male,UK,,2021-05-04,Books
25,38.0,Male,Canada,46.31,2023-04-05,Electronics
26,50.0,Female,,,2021-10-23,Home & Kitchen
27,29.0,Female,Australia,411.87,2021-04-09,Books
28,39.0,Other,,,2022-06-28,Beauty
29,61.0,Male,Australia,253.12,2021-09-08,Electronics
30,42.0,Male,Germany,338.03,2020-01-07,Clothing
31,66.0,Other,Canada,96.86,2022-10-03,Beauty
32,44.0,Male,France,335.54,2023-04-01,Home & Kitchen
33,59.0,Other,UK,,2022-03-12,Sports
34,,Other,USA,417.44,,Beauty
35,33.0,Male,France,260.56,2020-11-14,Electronics
36,32.0,Female,UK,472.22,2020-05-09,Electronics
37,64.0,Female,France,241.69,2020-04-18,Beauty
38,68.0,Female,USA,219.38,2020-08-06,Beauty
39,61.0,Female,France,227.78,2021-05-20,
40,69.0,Male,France,183.07,2021-03-04,Clothing
41,20.0,Other,USA,87.5,2021-10-03,Home & Kitchen
42,54.0,Other,USA,,2020-08-31,Sports
43,68.0,Male,,197.6,2021-03-13,Books
44,,Female,Germany,,2020-11-02,Beauty
45,38.0,Other,,14.84,2022-06-19,Electronics
46,26.0,Male,Australia,34.83,2023-07-02,Electronics
47,56.0,Male,USA,300.61,2023-09-12,
48,35.0,Female,Australia,440.22,2021-02-12,Books
49,21.0,Male,France,249.23,2022-01-18,
50,42.0,Other,USA,86.66,,Beauty
51,31.0,Other,UK,62.48,2022-02-15,Books
52,67.0,Male,USA,450.4,2020-07-12,Home & Kitchen
53,26.0,Other,USA,352.31,2022-08-20,Electronics
54,43.0,Male,Australia,483.27,2023-10-19,Clothing
55,19.0,Other,Canada,45.76,2020-05-01,
56,37.0,Female,France,451.79,2020-12-29,Clothing
57,,Other,Australia,423.59,2022-10-24,Clothing
58,64.0,Female,France,,2020-05-28,Home & Kitchen
59,24.0,Female,UK,7.85,2022-12-20,Beauty
60,,Male,Germany,372.24,2022-03-04,Books
61,25.0,Female,Canada,276.72,2023-02-14,Beauty
62,64.0,Other,,288.72,2022-04-25,Home & Kitchen
63,,Other,UK,237.25,,Beauty
64,31.0,Female,France,372.63,2023-03-07,Beauty
65,34.0,Male,Canada,499.92,2021-12-30,Clothing
66,53.0,Female,France,356.72,2021-04-02,Electronics
67,67.0,Other,,340.63,2021-04-29,Clothing
68,57.0,Other,France,328.95,2023-01-10,Home & Kitchen
69,21.0,Female,USA,349.13,2022-04-28,Beauty
70,19.0,Female,France,174.35,2021-12-14,Beauty
71,23.0,Female,USA,163.51,2022-12-06,
72,59.0,Other,UK,393.25,2020-12-09,Books
73,21.0,,Germany,31.28,2023-09-24,Home & Kitchen
74,46.0,Other,Australia,380.83,2020-08-23,Beauty
75,35.0,Male,USA,407.85,2021-10-24,Beauty
76,43.0,Other,Germany,263.19,,Sports
77,61.0,Other,France,455.52,2023-02-20,Beauty
78,51.0,Male,Australia,239.18,2022-08-29,Clothing
79,27.0,Male,France,93.15,2020-09-02,Books
80,53.0,Male,UK,183.89,2023-07-01,Books
81,31.0,Male,France,453.4,2021-07-19,Beauty
82,48.0,Male,USA,,2021-11-29,Electronics
83,65.0,Male,UK,213.82,2022-07-03,Home & Kitchen
84,32.0,Female,Germany,87.59,2020-10-07,Beauty
85,25.0,Female,UK,146.73,2020-03-07,Beauty
86,31.0,Female,Germany,278.88,2020-06-23,Clothing
87,40.0,Female,Canada,288.19,2023-04-29,Beauty
88,57.0,Other,USA,316.88,2020-10-11,Sports
89,38.0,Male,USA,418.5,2020-10-31,Clothing
90,33.0,Other,Germany,,,
91,62.0,Male,France,134.12,2022-03-03,Beauty
92,35.0,Male,Australia,200.55,2021-02-10,Home & Kitchen
93,,Other,France,420.71,2020-11-27,Books
94,41.0,Female,Canada,318.52,2020-10-31,Sports
95,,Other,Germany,87.38,,Electronics
96,42.0,Other,Canada,166.14,2021-10-30,Home & Kitchen
97,62.0,Male,,396.59,2022-02-11,Clothing
98,58.0,Male,Canada,90.19,2021-07-04,Home & Kitchen
99,,Male,Germany,347.07,2022-09-21,Electronics
100,32.0,Female,USA,283.95,2023-09-22,Clothing
101,62.0,Other,Canada,78.0,2022-11-19,Sports
102,18.0,Other,Canada,346.0,2021-03-15,Clothing
103,42.0,Female,Germany,75.46,2020-09-14,Clothing
104,24.0,Other,UK,202.23,2022-02-21,Electronics
105,,Other,UK,157.74,2021-07-16,Clothing
106,41.0,Male,,346.55,2020-08-21,Home & Kitchen
107,18.0,Female,France,392.27,2020-01-26,Books
108,61.0,Male,France,88.32,2021-06-06,Electronics
109,25.0,Female,USA,406.94,2021-01-18,Electronics
110,41.0,Male,France,8.57,2021-01-27,Electronics
