Customer ID,Gender,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date
CUST0268,Male,North,,Monitor,Electronics,300.0,5,1500,13.31,Returned,2023-12-08
CUST0046,Male,West,22.0,Headphones,Accessories,100.0,2,200,6.93,In Transit,2023-04-09
CUST0169,Female,South,54.0,Monitor,Electronics,300.0,1,300,11.31,Returned,2023-08-28
CUST0002,Male,North,23.0,Headphones,Accessories,100.0,5,500,12.22,Delivered,2023-01-18
CUST0173,Female,South,,Laptop,Electronics,1500.0,3,4500,5.4,Delivered,2023-01-19
CUST0147,Male,North,64.0,Smartwatch,Wearables,200.0,2,400,11.26,In Transit,2023-01-11
CUST0262,Male,East,27.0,Smartwatch,Wearables,200.0,1,200,18.38,In Transit,2023-10-23
CUST0159,Female,South,18.0,Keyboard,Accessories,50.0,2,100,15.08,Returned,2023-06-15
CUST0046,Female,East,22.0,Mouse,Accessories,30.0,1,30,8.22,Returned,2023-02-25
CUST0023,Male,West,29.0,Headphones,Accessories,100.0,3,300,10.7,Delivered,2023-04-23
CUST0201,Female,East,49.0,Headphones,Accessories,100.0,2,200,9.8,Returned,2023-06-01
CUST0283,Female,West,67.0,Mouse,Accessories,30.0,3,90,5.65,In Transit,2023-09-13
CUST0199,Female,West,41.0,Keyboard,Accessories,50.0,5,250,7.13,Delivered,2023-02-17
CUST0039,Male,South,60.0,Keyboard,Accessories,50.0,4,200,10.91,Returned,2023-12-10
CUST0276,Male,West,66.0,Mouse,Accessories,30.0,1,30,11.36,In Transit,2023-06-29
CUST0143,Female,,36.0,Smartwatch,Wearables,200.0,3,600,7.89,Delivered,2023-07-14
CUST0139,Male,North,57.0,Laptop,Electronics,1500.0,4,6000,10.92,In Transit,2023-05-13
CUST0210,Male,South,30.0,Smartphone,Electronics,800.0,2,1600,11.44,Returned,2023-06-09
CUST0293,Female,East,32.0,Smartwatch,Wearables,200.0,5,1000,7.16,In Transit,2023-06-21
CUST0049,Female,West,59.0,Monitor,Electronics,300.0,4,1200,17.37,In Transit,2023-11-26
CUST0283,Female,East,67.0,Smartphone,Electronics,800.0,5,4000,12.17,Delivered,2023-11-08
CUST0196,Female,South,37.0,Mouse,Accessories,30.0,3,90,19.41,Returned,2023-12-27
CUST0050,Male,North,,Mouse,Accessories,30.0,3,90,6.97,Returned,2023-06-06
CUST0007,Female,East,52.0,Headphones,Accessories,100.0,2,200,12.0,In Transit,2023-10-28
CUST0242,Male,North,58.0,Smartphone,Electronics,800.0,4,3200,18.11,,2023-12-30
CUST0042,Female,South,57.0,Keyboard,Accessories,50.0,1,50,9.6,Delivered,2023-12-04
CUST0264,Male,East,59.0,Smartphone,Electronics,1658.4323266595475,2,1600,11.59,In Transit,2023-02-01
CUST0053,Female,North,25.0,Smartwatch,Wearables,200.0,1,200,14.9,Delivered,2023-08-14
CUST0154,Female,East,31.0,Smartphone,Electronics,800.0,1,800,19.22,In Transit,2023-12-07
CUST0190,Male,North,28.0,Keyboard,Accessories,50.0,4,200,15.31,Delivered,2023-06-28
CUST0038,Female,East,57.0,Monitor,Electronics,300.0,2,600,12.38,Returned,2023-11-17
CUST0288,Female,South,,Laptop,Electronics,1500.0,4,6000,12.91,Delivered,2023-01-25
CUST0124,Female,South,53.0,Monitor,Electronics,300.0,2,600,18.38,In Transit,2023-09-05
CUST0298,Female,South,58.0,Headphones,Accessories,100.0,5,500,7.41,Delivered,2023-09-17
CUST0211,Female,South,35.0,Mouse,Accessories,30.0,3,90,11.42,Delivered,2023-12-25
CUST0060,Male,North,41.0,Laptop,Electronics,1500.0,4,6000,7.13,Delivered,2023-01-14
CUST0284,Female,West,64.0,Monitor,Electronics,300.0,1,300,6.55,Returned,2023-08-01
CUST0282,Male,North,,Smartphone,Electronics,800.0,2,1600,9.72,Delivered,2023-02-12
CUST0205,Female,South,43.0,Monitor,Electronics,300.0,2,600,18.27,In Transit,2023-05-18
CUST0222,Female,,61.0,Smartphone,Electronics,800.0,2,1600,6.01,Returned,2023-10-03
CUST0299,Male,East,58.0,Keyboard,Accessories,50.0,2,100,9.57,Returned,2023-08-30
CUST0064,Male,West,61.0,Monitor,Electronics,300.0,1,300,13.82,Returned,2023-09-15
CUST0073,Male,East,19.0,Keyboard,Accessories,50.0,4,200,5.32,Delivered,2023-02-14
CUST0154,Male,North,31.0,Keyboard,Accessories,50.0,3,150,7.46,Delivered,2023-02-27
CUST0081,Male,North,38.0,Monitor,Electronics,300.0,1,300,17.22,Returned,2023-08-13
CUST0247,Male,East,44.0,Headphones,Accessories,100.0,2,200,8.15,In Transit,2023-05-09
CUST0130,Male,East,68.0,Monitor,Electronics,300.0,2,600,9.56,,2023-12-23
CUST0178,Male,West,44.0,Smartwatch,Wearables,200.0,3,600,18.09,In Transit,2023-10-28
CUST0131,Female,West,67.0,Laptop,Electronics,1500.0,4,6000,7.01,Delivered,2023-09-01
CUST0070,Male,West,23.0,Monitor,Electronics,300.0,3,900,12.58,Returned,2023-04-16
CUST0122,Male,West,68.0,Headphones,Accessories,100.0,2,200,13.49,In Transit,2023-12-13
CUST0168,Female,East,42.0,Monitor,Electronics,300.0,4,1200,18.15,In Transit,2023-03-27
CUST0176,Male,South,51.0,Laptop,Electronics,1500.0,2,3000,7.43,Delivered,2023-11-16
